epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.222,1.59922,4.16992,2.1792,0.01225,0.07305,0.01985,0.01522,0.93567,3.45984,1.87387,8.02632e-05,8.02632e-05,8.02632e-05
2,23.2186,0.95138,3.23481,1.51609,0.01961,0.84873,0.06694,0.05735,0.5825,2.30622,1.01763,0.000158397,0.000158397,0.000158397
3,33.9504,0.83987,2.76132,1.40951,0.60214,0.26383,0.12735,0.11493,0.48533,2.06741,0.75898,0.00023331,0.00023331,0.00023331
4,44.6483,0.79471,2.48276,1.35724,0.31563,0.36185,0.19253,0.17762,0.41759,1.74597,0.64215,0.000229506,0.000229506,0.000229506
5,55.2971,0.72457,2.23953,1.30982,0.44138,0.42859,0.22623,0.1968,0.54468,1.73692,0.77842,0.000224675,0.000224675,0.000224675
6,65.9464,0.70423,2.09444,1.28351,0.46948,0.46144,0.29936,0.27749,0.41984,1.62646,0.62213,0.000219844,0.000219844,0.000219844
7,76.7881,0.67697,1.98467,1.25486,0.30024,0.53136,0.31888,0.29511,0.40691,1.51869,0.55994,0.000215013,0.000215013,0.000215013
8,87.6896,0.65122,1.90634,1.24098,0.41093,0.59546,0.4069,0.38863,0.33964,1.44322,0.53805,0.000210182,0.000210182,0.000210182
9,99.2002,0.62972,1.82843,1.22957,0.40051,0.60066,0.39579,0.35825,0.47082,1.44638,0.66709,0.00020535,0.00020535,0.00020535
10,110.067,0.6029,1.76345,1.1961,0.382,0.65931,0.42194,0.39755,0.36006,1.35383,0.50486,0.000200519,0.000200519,0.000200519
11,121.929,0.5829,1.68127,1.18555,0.33883,0.69471,0.43262,0.41515,0.32191,1.33855,0.50421,0.000195688,0.000195688,0.000195688
12,136.363,0.57407,1.65468,1.17588,0.34849,0.80348,0.4481,0.43293,0.3105,1.28598,0.43871,0.000190857,0.000190857,0.000190857
13,150.342,0.54668,1.6048,1.15726,0.35748,0.74712,0.47349,0.4579,0.30404,1.22125,0.4496,0.000186026,0.000186026,0.000186026
14,164.22,0.52106,1.55226,1.14571,0.39036,0.7544,0.48342,0.46969,0.26552,1.22928,0.4239,0.000181194,0.000181194,0.000181194
15,178.782,0.54169,1.5373,1.16285,0.37789,0.79751,0.51491,0.50065,0.2876,1.16758,0.4284,0.000176363,0.000176363,0.000176363
16,193.308,0.51307,1.49549,1.12906,0.39811,0.81016,0.48881,0.47669,0.2826,1.16695,0.40909,0.000171532,0.000171532,0.000171532
17,207.681,0.50834,1.48941,1.1241,0.4003,0.8401,0.49913,0.48997,0.25898,1.15907,0.38934,0.000166701,0.000166701,0.000166701
18,222.097,0.50092,1.44196,1.12624,0.38975,0.83048,0.48689,0.4719,0.28974,1.15977,0.4057,0.00016187,0.00016187,0.00016187
19,236.803,0.48733,1.42695,1.11452,0.40472,0.82767,0.50873,0.49104,0.28331,1.1199,0.38948,0.000157038,0.000157038,0.000157038
20,251.64,0.48016,1.40462,1.10923,0.40779,0.80406,0.48914,0.48373,0.22162,1.1417,0.32616,0.000152207,0.000152207,0.000152207
21,265.921,0.48422,1.37762,1.10792,0.40575,0.85115,0.48765,0.47217,0.29274,1.11077,0.41329,0.000147376,0.000147376,0.000147376
22,280.658,0.46572,1.36724,1.10053,0.39326,0.87631,0.48977,0.48545,0.22709,1.11624,0.33243,0.000142545,0.000142545,0.000142545
23,295.143,0.45905,1.35294,1.10472,0.41582,0.88053,0.50768,0.50023,0.25466,1.08295,0.34766,0.000137714,0.000137714,0.000137714
24,309.849,0.462,1.32724,1.09729,0.41871,0.86549,0.51956,0.51402,0.21709,1.07243,0.31152,0.000132882,0.000132882,0.000132882
25,324.332,0.45228,1.33471,1.09428,0.40088,0.86145,0.49931,0.49499,0.22311,1.08603,0.29358,0.000128051,0.000128051,0.000128051
26,338.899,0.43562,1.29681,1.07981,0.42694,0.90714,0.51704,0.51249,0.20015,1.06912,0.31774,0.00012322,0.00012322,0.00012322
27,353.443,0.43378,1.30208,1.08429,0.40956,0.88554,0.50074,0.48652,0.28636,1.09286,0.37966,0.000118389,0.000118389,0.000118389
28,368.308,0.43198,1.27384,1.07227,0.4146,0.89358,0.50871,0.50647,0.20391,1.08576,0.27341,0.000113558,0.000113558,0.000113558
29,383.428,0.41795,1.26994,1.06885,0.4343,0.90252,0.51078,0.50703,0.19946,1.05786,0.30731,0.000108726,0.000108726,0.000108726
30,398.55,0.41664,1.24162,1.06464,0.42517,0.87975,0.49541,0.49186,0.19569,1.08704,0.27642,0.000103895,0.000103895,0.000103895
31,413.657,0.40973,1.24498,1.06828,0.44901,0.91251,0.50898,0.50729,0.17845,1.04016,0.26484,9.9064e-05,9.9064e-05,9.9064e-05
32,428.838,0.40537,1.2432,1.05945,0.42447,0.92327,0.50528,0.50128,0.19926,1.05517,0.26728,9.42328e-05,9.42328e-05,9.42328e-05
33,443.046,0.39637,1.22683,1.05256,0.43163,0.88484,0.50548,0.50118,0.22548,1.08775,0.29531,8.94016e-05,8.94016e-05,8.94016e-05
34,457.664,0.39864,1.21804,1.05364,0.43046,0.909,0.50283,0.50068,0.21621,1.08926,0.28958,8.45704e-05,8.45704e-05,8.45704e-05
35,472.516,0.3902,1.1958,1.05154,0.43357,0.91373,0.50537,0.50378,0.1783,1.06489,0.25089,7.97392e-05,7.97392e-05,7.97392e-05
36,486.925,0.38085,1.19754,1.04848,0.45089,0.9383,0.51028,0.50952,0.18953,1.05209,0.26111,7.4908e-05,7.4908e-05,7.4908e-05
37,502.379,0.3848,1.20409,1.04244,0.44153,0.9272,0.50454,0.50247,0.24577,1.04502,0.30753,7.00768e-05,7.00768e-05,7.00768e-05
38,517.504,0.38078,1.17132,1.04271,0.44585,0.93045,0.50802,0.50755,0.1773,1.05848,0.25144,6.52456e-05,6.52456e-05,6.52456e-05
39,532.59,0.36863,1.15985,1.03225,0.43466,0.92108,0.50737,0.50667,0.16415,1.06243,0.2324,6.04144e-05,6.04144e-05,6.04144e-05
40,547.003,0.37451,1.18473,1.03701,0.4422,0.94032,0.50405,0.50305,0.17423,1.0701,0.2287,5.55832e-05,5.55832e-05,5.55832e-05
41,585.583,0.25271,1.12457,1.01079,0.44672,0.9237,0.4982,0.49692,0.17437,1.07577,0.26149,5.0752e-05,5.0752e-05,5.0752e-05
42,599.615,0.20997,1.0259,0.97493,0.44922,0.92703,0.50597,0.50587,0.13972,1.05178,0.22177,4.59208e-05,4.59208e-05,4.59208e-05
43,613.729,0.20146,1.01395,0.96667,0.44548,0.93962,0.50427,0.50426,0.11759,1.0753,0.1926,4.10896e-05,4.10896e-05,4.10896e-05
44,627.855,0.18692,0.99586,0.95786,0.45187,0.9341,0.51686,0.51685,0.11164,1.06908,0.18319,3.62584e-05,3.62584e-05,3.62584e-05
45,642.262,0.17807,0.97856,0.94811,0.453,0.94979,0.51074,0.51073,0.10069,1.05162,0.16875,3.14272e-05,3.14272e-05,3.14272e-05
46,657.243,0.17434,0.96374,0.94751,0.44697,0.93606,0.49723,0.49722,0.12565,1.07861,0.18617,2.6596e-05,2.6596e-05,2.6596e-05
47,671.584,0.17177,0.96855,0.95007,0.44874,0.9373,0.49798,0.49798,0.10878,1.06977,0.17836,2.17648e-05,2.17648e-05,2.17648e-05
48,686.351,0.17216,0.94543,0.93708,0.45318,0.93233,0.49501,0.495,0.10962,1.07755,0.17277,1.69336e-05,1.69336e-05,1.69336e-05
49,701.485,0.16074,0.93532,0.93249,0.45529,0.93273,0.49421,0.49402,0.10075,1.08183,0.15748,1.21024e-05,1.21024e-05,1.21024e-05
50,716,0.16025,0.9442,0.9274,0.45734,0.94038,0.49518,0.49518,0.09109,1.08436,0.15146,7.2712e-06,7.2712e-06,7.2712e-06
